gop,object_id,mAP,AP50,AP75,predictions,ground_truths,dataset,video_name,video_id
0,19,0.7224489795918367,1.0,0.8163265306122449,49,49,MOT17,MOT17-09-SDP,09-SDP
0,20,0.5020408163265306,1.0,0.32653061224489793,49,49,MOT17,MOT17-09-SDP,09-SDP
0,21,0.5020408163265306,1.0,0.5714285714285714,49,49,MOT17,MOT17-09-SDP,09-SDP
0,22,0.4204081632653061,0.8979591836734694,0.2857142857142857,49,49,MOT17,MOT17-09-SDP,09-SDP
0,23,0.41836734693877553,1.0,0.2857142857142857,49,49,MOT17,MOT17-09-SDP,09-SDP
1,1,0.04285714285714286,0.061224489795918366,0.04081632653061224,49,49,MOT17,MOT17-09-SDP,09-SDP
1,19,0.6428571428571428,1.0,0.5918367346938775,49,49,MOT17,MOT17-09-SDP,09-SDP
1,20,0.5653061224489796,1.0,0.5510204081632653,49,49,MOT17,MOT17-09-SDP,09-SDP
1,21,0.9755102040816327,1.0,1.0,49,49,MOT17,MOT17-09-SDP,09-SDP
1,22,0.9571428571428571,1.0,1.0,49,49,MOT17,MOT17-09-SDP,09-SDP
1,23,0.4,0.8979591836734694,0.3673469387755102,49,49,MOT17,MOT17-09-SDP,09-SDP
2,1,0.7142857142857142,1.0,0.9795918367346939,49,49,MOT17,MOT17-09-SDP,09-SDP
2,7,0.47551020408163264,1.0,0.22448979591836735,49,49,MOT17,MOT17-09-SDP,09-SDP
2,19,0.4367346938775511,0.8571428571428571,0.3469387755102041,49,49,MOT17,MOT17-09-SDP,09-SDP
2,20,0.5489795918367347,1.0,0.5102040816326531,49,49,MOT17,MOT17-09-SDP,09-SDP
0,1,0.326530612244898,0.7142857142857143,0.24489795918367346,49,49,MOT17,MOT17-10-SDP,10-SDP
0,3,0.23265306122448978,0.5510204081632653,0.10204081632653061,49,49,MOT17,MOT17-10-SDP,10-SDP
0,4,0.1,0.1836734693877551,0.061224489795918366,49,49,MOT17,MOT17-10-SDP,10-SDP
0,5,0.2795918367346939,0.6530612244897959,0.20408163265306123,49,49,MOT17,MOT17-10-SDP,10-SDP
0,8,0.2020408163265306,0.3877551020408163,0.16326530612244897,49,49,MOT17,MOT17-10-SDP,10-SDP
0,12,0.23673469387755097,0.42857142857142855,0.22448979591836735,49,49,MOT17,MOT17-10-SDP,10-SDP
0,13,0.2653061224489796,0.4897959183673469,0.2857142857142857,49,49,MOT17,MOT17-10-SDP,10-SDP
0,18,0.17755102040816328,0.32653061224489793,0.14285714285714285,49,49,MOT17,MOT17-10-SDP,10-SDP
0,26,0.2346938775510204,0.5918367346938775,0.16326530612244897,49,49,MOT17,MOT17-10-SDP,10-SDP
0,27,0.07755102040816328,0.1836734693877551,0.04081632653061224,49,49,MOT17,MOT17-10-SDP,10-SDP
0,28,0.11632653061224492,0.24489795918367346,0.10204081632653061,49,49,MOT17,MOT17-10-SDP,10-SDP
0,38,0.10408163265306122,0.1836734693877551,0.08163265306122448,49,49,MOT17,MOT17-10-SDP,10-SDP
0,39,0.0836734693877551,0.14285714285714285,0.08163265306122448,49,49,MOT17,MOT17-10-SDP,10-SDP
0,40,0.09795918367346937,0.14285714285714285,0.10204081632653061,49,49,MOT17,MOT17-10-SDP,10-SDP
1,2,0.12244897959183673,0.2857142857142857,0.08163265306122448,49,49,MOT17,MOT17-10-SDP,10-SDP
1,4,0.055102040816326525,0.14285714285714285,0.04081632653061224,49,49,MOT17,MOT17-10-SDP,10-SDP
1,12,0.08571428571428572,0.16326530612244897,0.061224489795918366,49,49,MOT17,MOT17-10-SDP,10-SDP
1,13,0.1,0.22448979591836735,0.08163265306122448,49,49,MOT17,MOT17-10-SDP,10-SDP
1,24,0.5204081632653061,1.0,0.5102040816326531,49,49,MOT17,MOT17-10-SDP,10-SDP
1,43,0.27346938775510204,0.5510204081632653,0.24489795918367346,49,49,MOT17,MOT17-10-SDP,10-SDP
2,2,0.5755102040816327,1.0,0.5714285714285714,49,49,MOT17,MOT17-10-SDP,10-SDP
2,4,0.20816326530612242,0.42857142857142855,0.14285714285714285,49,49,MOT17,MOT17-10-SDP,10-SDP
2,7,0.40816326530612235,0.7346938775510204,0.40816326530612246,49,49,MOT17,MOT17-10-SDP,10-SDP
2,9,0.36326530612244895,0.9591836734693877,0.20408163265306123,49,49,MOT17,MOT17-10-SDP,10-SDP
2,12,0.3346938775510203,0.7346938775510204,0.2653061224489796,49,49,MOT17,MOT17-10-SDP,10-SDP
2,13,0.5897959183673469,1.0,0.5918367346938775,49,49,MOT17,MOT17-10-SDP,10-SDP
2,24,0.07142857142857142,0.16326530612244897,0.061224489795918366,49,49,MOT17,MOT17-10-SDP,10-SDP
2,26,0.3081632653061225,0.42857142857142855,0.32653061224489793,49,49,MOT17,MOT17-10-SDP,10-SDP
2,29,0.24285714285714283,0.40816326530612246,0.22448979591836735,49,49,MOT17,MOT17-10-SDP,10-SDP
2,30,0.19387755102040818,0.2653061224489796,0.20408163265306123,49,49,MOT17,MOT17-10-SDP,10-SDP
2,43,0.2428571428571428,0.5306122448979592,0.20408163265306123,49,49,MOT17,MOT17-10-SDP,10-SDP
0,1,1.0,1.0,1.0,49,49,MOT17,MOT17-04-SDP,04-SDP
0,2,0.3795918367346939,0.7755102040816326,0.30612244897959184,49,49,MOT17,MOT17-04-SDP,04-SDP
0,3,1.0,1.0,1.0,49,49,MOT17,MOT17-04-SDP,04-SDP
0,4,0.6755102040816328,1.0,1.0,49,49,MOT17,MOT17-04-SDP,04-SDP
0,5,0.6612244897959183,1.0,0.6938775510204082,49,49,MOT17,MOT17-04-SDP,04-SDP
0,6,1.0,1.0,1.0,49,49,MOT17,MOT17-04-SDP,04-SDP
0,60,1.0,1.0,1.0,49,49,MOT17,MOT17-04-SDP,04-SDP
0,61,0.1979591836734694,0.3673469387755102,0.1836734693877551,49,49,MOT17,MOT17-04-SDP,04-SDP
0,62,1.0,1.0,1.0,49,49,MOT17,MOT17-04-SDP,04-SDP
0,63,0.24693877551020402,0.4489795918367347,0.20408163265306123,49,49,MOT17,MOT17-04-SDP,04-SDP
0,65,0.1653061224489796,0.3877551020408163,0.14285714285714285,49,49,MOT17,MOT17-04-SDP,04-SDP
0,66,0.12653061224489798,0.3469387755102041,0.08163265306122448,49,49,MOT17,MOT17-04-SDP,04-SDP
0,67,0.26530612244897955,0.40816326530612246,0.24489795918367346,49,49,MOT17,MOT17-04-SDP,04-SDP
0,68,0.22653061224489796,0.42857142857142855,0.1836734693877551,49,49,MOT17,MOT17-04-SDP,04-SDP
0,69,0.15306122448979592,0.2857142857142857,0.12244897959183673,49,49,MOT17,MOT17-04-SDP,04-SDP
0,70,0.653061224489796,1.0,0.673469387755102,49,49,MOT17,MOT17-04-SDP,04-SDP
0,71,0.6224489795918368,1.0,0.7959183673469388,49,49,MOT17,MOT17-04-SDP,04-SDP
0,72,0.5714285714285714,1.0,0.5102040816326531,49,49,MOT17,MOT17-04-SDP,04-SDP
0,73,0.43673469387755104,1.0,0.2653061224489796,49,49,MOT17,MOT17-04-SDP,04-SDP
0,74,0.3142857142857143,0.5306122448979592,0.3469387755102041,49,49,MOT17,MOT17-04-SDP,04-SDP
0,75,0.19591836734693877,0.5510204081632653,0.16326530612244897,49,49,MOT17,MOT17-04-SDP,04-SDP
0,76,1.0,1.0,1.0,49,49,MOT17,MOT17-04-SDP,04-SDP
0,78,0.7959183673469388,1.0,0.9795918367346939,49,49,MOT17,MOT17-04-SDP,04-SDP
0,80,0.5918367346938777,1.0,0.5510204081632653,49,49,MOT17,MOT17-04-SDP,04-SDP
0,82,0.3653061224489796,1.0,0.2653061224489796,49,49,MOT17,MOT17-04-SDP,04-SDP
0,83,0.5020408163265306,1.0,0.3673469387755102,49,49,MOT17,MOT17-04-SDP,04-SDP
0,84,0.31020408163265306,0.5510204081632653,0.2857142857142857,49,49,MOT17,MOT17-04-SDP,04-SDP
0,85,0.5306122448979592,0.7346938775510204,0.5306122448979592,49,49,MOT17,MOT17-04-SDP,04-SDP
0,86,0.9142857142857144,1.0,1.0,49,49,MOT17,MOT17-04-SDP,04-SDP
0,87,0.963265306122449,1.0,1.0,49,49,MOT17,MOT17-04-SDP,04-SDP
0,88,0.926530612244898,1.0,1.0,49,49,MOT17,MOT17-04-SDP,04-SDP
0,89,0.5326530612244897,0.8367346938775511,0.5714285714285714,49,49,MOT17,MOT17-04-SDP,04-SDP
0,90,0.8387755102040817,1.0,1.0,49,49,MOT17,MOT17-04-SDP,04-SDP
0,91,0.8673469387755102,1.0,1.0,49,49,MOT17,MOT17-04-SDP,04-SDP
0,92,0.5551020408163265,1.0,0.22448979591836735,49,49,MOT17,MOT17-04-SDP,04-SDP
0,93,0.3204081632653061,0.7959183673469388,0.22448979591836735,49,49,MOT17,MOT17-04-SDP,04-SDP
0,94,0.7673469387755101,1.0,0.7551020408163265,49,49,MOT17,MOT17-04-SDP,04-SDP
0,95,0.9714285714285713,1.0,1.0,49,49,MOT17,MOT17-04-SDP,04-SDP
0,96,0.8489795918367348,1.0,1.0,49,49,MOT17,MOT17-04-SDP,04-SDP
0,97,0.02040816326530612,0.02040816326530612,0.02040816326530612,49,49,MOT17,MOT17-04-SDP,04-SDP
1,1,0.8306122448979592,1.0,1.0,49,49,MOT17,MOT17-04-SDP,04-SDP
1,2,0.44693877551020417,0.8775510204081632,0.3877551020408163,49,49,MOT17,MOT17-04-SDP,04-SDP
1,3,1.0,1.0,1.0,49,49,MOT17,MOT17-04-SDP,04-SDP
1,4,1.0,1.0,1.0,49,49,MOT17,MOT17-04-SDP,04-SDP
1,5,0.5428571428571428,1.0,0.5306122448979592,49,49,MOT17,MOT17-04-SDP,04-SDP
1,6,1.0,1.0,1.0,49,49,MOT17,MOT17-04-SDP,04-SDP
1,60,0.36122448979591837,0.42857142857142855,0.3469387755102041,49,49,MOT17,MOT17-04-SDP,04-SDP
1,62,1.0,1.0,1.0,49,49,MOT17,MOT17-04-SDP,04-SDP
1,63,0.0836734693877551,0.16326530612244897,0.08163265306122448,49,49,MOT17,MOT17-04-SDP,04-SDP
1,65,0.1285714285714286,0.2653061224489796,0.10204081632653061,49,49,MOT17,MOT17-04-SDP,04-SDP
1,66,0.09183673469387754,0.20408163265306123,0.061224489795918366,49,49,MOT17,MOT17-04-SDP,04-SDP
1,67,0.2489795918367347,0.4489795918367347,0.22448979591836735,49,49,MOT17,MOT17-04-SDP,04-SDP
1,68,0.1469387755102041,0.42857142857142855,0.10204081632653061,49,49,MOT17,MOT17-04-SDP,04-SDP
1,69,0.24285714285714283,0.6326530612244898,0.12244897959183673,49,49,MOT17,MOT17-04-SDP,04-SDP
1,70,0.11836734693877553,0.1836734693877551,0.10204081632653061,49,49,MOT17,MOT17-04-SDP,04-SDP
